"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 21:52:02 UTC 2023","Sun Jan 29 21:52:03 UTC 2023","1003","","Check ""Book a demo"" form using valid credentials","","Check ""Book a demo"" form using valid credentials","Click the ""I want to receive…"" check box","Click the ""I want to receive…"" check box",""
"passed","Sun Jan 29 21:52:36 UTC 2023","Sun Jan 29 21:52:38 UTC 2023","2016","","Check displaying Telnyx Lookup API use cases","","Check displaying Telnyx Lookup API use cases","Click the ""Learn more"" link of ""Contact Center"" use case","Click the ""Learn more"" link of ""Contact Center"" use case",""
"passed","Sun Jan 29 21:52:21 UTC 2023","Sun Jan 29 21:52:23 UTC 2023","2008","","Check switching pages","","Check switching pages","Scroll to the page numbers section","Scroll to the page numbers section",""
"passed","Sun Jan 29 21:51:53 UTC 2023","Sun Jan 29 21:51:53 UTC 2023","1","","Check activity the countries phones","","Check activity the countries phones","Scroll to the ""All other countries"" phone","Scroll to the ""All other countries"" phone",""
"passed","Sun Jan 29 21:52:00 UTC 2023","Sun Jan 29 21:52:05 UTC 2023","5005","","Check filling ""Report abuse"" form using valid credentials","","Check filling ""Report abuse"" form using valid credentials","Click the ""Submit"" button","Click the ""Submit"" button",""
"passed","Sun Jan 29 21:51:53 UTC 2023","Sun Jan 29 21:51:55 UTC 2023","2006","","Check opening the ""Популярные темы"" sections","","Check opening the ""Популярные темы"" sections","Scroll to the ""Популярные темы"" title","Scroll to the ""Популярные темы"" title",""
"passed","Sun Jan 29 21:51:55 UTC 2023","Sun Jan 29 21:51:55 UTC 2023","180","","Check the ""Download the Contact Center eBook"" form using valid credentials","","Check the ""Download the Contact Center eBook"" form using valid credentials","Check the ""I want to receive emails…"" check box","Check the ""I want to receive emails…"" check box",""
"passed","Sun Jan 29 21:52:43 UTC 2023","Sun Jan 29 21:52:47 UTC 2023","3644","","Check switching pages","","Check switching pages","Should open the page № 6","Should open the page № 6",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:51:51 UTC 2023","6","","Check filling ""Report abuse"" form using valid credentials","","Check filling ""Report abuse"" form using valid credentials","Scroll to the ""Report abuse"" title","Scroll to the ""Report abuse"" title",""
"passed","Sun Jan 29 21:52:00 UTC 2023","Sun Jan 29 21:52:00 UTC 2023","1","","Check filling ""Report abuse"" form using valid credentials","","Check filling ""Report abuse"" form using valid credentials","Click the ""SMS"" to choose this value","Click the ""SMS"" to choose this value",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:51:51 UTC 2023","2","","Check activity the countries phones","","Check activity the countries phones","Scroll to the ""Estonia"" phone","Scroll to the ""Estonia"" phone",""
"passed","Sun Jan 29 21:52:17 UTC 2023","Sun Jan 29 21:52:18 UTC 2023","1004","","Сheck drop down menu appearances","","Сheck drop down menu appearances","Hover the ""Elastic SIP Trunking"" tab","Hover the ""Elastic SIP Trunking"" tab",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:51:55 UTC 2023","4174","","Check the ""Download the Contact Center eBook"" form using valid credentials","","Check the ""Download the Contact Center eBook"" form using valid credentials","Enter the valid credentials in the form","Enter the valid credentials in the form",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:52:02 UTC 2023","10965","","Check ""Book a demo"" form using valid credentials","","Check ""Book a demo"" form using valid credentials","Enter all the credentials","Enter all the credentials",""
"passed","Sun Jan 29 21:52:26 UTC 2023","Sun Jan 29 21:52:26 UTC 2023","6","","Check ""Log in"" using invalid credentials","","Check ""Log in"" using invalid credentials","Click the ""Remember my email..."" check box","Click the ""Remember my email..."" check box",""
"passed","Sun Jan 29 21:52:02 UTC 2023","Sun Jan 29 21:52:09 UTC 2023","7020","","Check opening the ""Популярные темы"" sections","","Check opening the ""Популярные темы"" sections","Click the ""middleLink"" link","Click the ""middleLink"" link",""
"passed","Sun Jan 29 21:52:27 UTC 2023","Sun Jan 29 21:52:29 UTC 2023","2008","","Check clickability the main page application","","Check clickability the main page application","Click the ""Wireless"" application link","Click the ""Wireless"" application link",""
"passed","Sun Jan 29 21:52:22 UTC 2023","Sun Jan 29 21:52:22 UTC 2023","5","","Check clickability the main page application","","Check clickability the main page application","Scroll to the ""Elastic SIP Trunking"" application","Scroll to the ""Elastic SIP Trunking"" application",""
"passed","Sun Jan 29 21:52:30 UTC 2023","Sun Jan 29 21:52:34 UTC 2023","4037","","Check switching pages","","Check switching pages","Should open the page № 1","Should open the page № 1",""
"passed","Sun Jan 29 21:52:06 UTC 2023","Sun Jan 29 21:52:09 UTC 2023","2040","","Check ""Telnyx Network FAQs"" articles","","Check ""Telnyx Network FAQs"" articles","Should click ""+"" of ""What makes private…"" article","Should click ""+"" of ""What makes private…"" article",""
"passed","Sun Jan 29 21:52:51 UTC 2023","Sun Jan 29 21:52:55 UTC 2023","4457","","Check changing the ""Telnyx Product Portal"" tabs","","Check changing the ""Telnyx Product Portal"" tabs","Should click the header tabs of the page","Should click the header tabs of the page",""
"passed","Sun Jan 29 21:52:36 UTC 2023","Sun Jan 29 21:52:36 UTC 2023","3","","Сheck ""Call Us"" dialog menu appearances","","Сheck ""Call Us"" dialog menu appearances","Scroll to the ""Call Us"" header menu","Scroll to the ""Call Us"" header menu",""
